Model,Delta_Time,Sample_Rate,MCC,Test_score
RF,15,0.5,0.542138177101608,0.2652816420196012
RF,30,0.5,0.540836012952469,0.3037238234493878
RF,45,0.5,0.5272584923315576,-0.026378338645578096
RF,60,0.5,0.48472938821982225,0.10032206202542021
RF,75,0.5,0.39308972974025413,0.2211629342323457
RF,90,0.5,0.4658541274786213,0.09759000729485331
RF,105,0.5,0.32948653205882816,-0.05976143046671968
RF,120,0.5,0.21884158614166177,-0.2548235957188128
RF,135,0.5,0.42973545278404773,0.0
RF,150,0.5,0.24771979756851606,0.0
RF,165,0.5,0.2379445409770841,0.0
RF,180,0.5,0.11547005383792516,0.0
RF,15,1.0,0.48499403729302015,0.2593919892669868
RF,30,1.0,0.5017669360475663,0.24594246654722565
RF,45,1.0,0.5018514754128935,-0.008295207271926638
RF,60,1.0,0.46375581945246774,0.043730129600824195
RF,75,1.0,0.5142653079423788,0.30952380952380953
RF,90,1.0,0.5534999649238465,0.1704453597146584
RF,105,1.0,0.33447264361439366,-0.05976143046671968
RF,120,1.0,0.3051051196787887,-0.37796447300922725
RF,135,1.0,0.36069072488150383,0.0
RF,150,1.0,0.5079124626440448,-0.4472135954999579
RF,165,1.0,0.16498299142610595,0.0
RF,180,1.0,0.06666666666666667,0.0
RF,15,2.0,0.4886181320093893,0.1765429986740813
RF,30,2.0,0.5575195026653059,0.20096627737698627
RF,45,2.0,0.4324093080946548,-0.008295207271926638
RF,60,2.0,0.5819832440720425,0.028295966212298008
RF,75,2.0,0.4434328901311047,0.2655425022718972
RF,90,2.0,0.35434066916602225,0.1704453597146584
RF,105,2.0,0.2999581897871013,-0.05976143046671968
RF,120,2.0,0.36538558648695435,-0.37796447300922725
RF,135,2.0,0.30954836101285116,-0.6454972243679028
RF,150,2.0,0.38973768099674877,0.0
RF,165,2.0,0.03333333333333333,0.0
RF,180,2.0,0.0,0.0
RF,15,3.0,0.48367168174202685,0.1332630668661694
RF,30,3.0,0.4749579518195214,0.18110503250609242
RF,45,3.0,0.47909199461308327,-0.08316359116491764
RF,60,3.0,0.4799624461684589,-0.011612903225806452
RF,75,3.0,0.40439251751216887,0.2655425022718972
RF,90,3.0,0.542751440550956,0.1704453597146584
RF,105,3.0,0.31619402207338415,-0.07905694150420949
RF,120,3.0,0.4102422104182889,0.04303314829119352
RF,135,3.0,0.5420611795657647,0.0
RF,150,3.0,0.22649110640673514,-0.4472135954999579
RF,165,3.0,0.24880338717125844,0.0
RF,180,3.0,0.23094010767585033,0.0
RF,15,5.0,0.4422347449889232,0.13553734866557968
RF,30,5.0,0.4841515533802614,0.12909031193358994
RF,45,5.0,0.4787870084229267,-0.022197431317271307
RF,60,5.0,0.4734175113774451,0.10776318121606494
RF,75,5.0,0.38266147531728373,0.3440312310280933
RF,90,5.0,0.607385674261045,0.09759000729485331
RF,105,5.0,0.4043946444981906,-0.05976143046671968
RF,120,5.0,0.5150291612752418,-0.37796447300922725
RF,135,5.0,0.3932257784643956,0.0
RF,150,5.0,0.3713335761073438,0.0
RF,165,5.0,0.5058078204724923,-0.4082482904638631
RF,180,5.0,0.19999999999999998,0.0
DT,15,0.5,0.3148396387417397,0.2629824187414014
